#origin_as|region|country|as_type|use_selective|selective_prefixes|selective_neighbors|selective_proportion|median_intensity
9757|apnic|KR|isp|True|56|3|0.77|0.67
9759|apnic|KR|business|False|0|0|0.00|1.00
9760|apnic|KR|none|False|0|0|0.00|1.00
9761|apnic|KR|business|False|0|0|0.00|1.00
9762|apnic|KR|isp|False|0|0|0.00|1.00
9763|apnic|KR|isp|True|1|1|0.19|1.00
9764|apnic|KR|business|True|2|1|0.50|1.00
9765|apnic|KR|none|False|0|0|0.00|1.00
9767|apnic|KR|business|True|1|1|0.02|1.00
9769|apnic|KR|education|False|0|0|0.00|1.00
9770|apnic|KR|isp|False|0|0|0.00|1.00
9772|apnic|KR|business|True|22|2|0.76|0.50
9773|apnic|KR|business|False|0|0|0.00|1.00
9774|apnic|KR|education|False|0|0|0.00|1.00
9775|apnic|KR|education|False|0|0|0.00|1.00
9776|apnic|KR|business|True|1|1|0.12|1.00
9777|apnic|KR|business|True|5|2|0.67|0.50
9778|apnic|KR|education|True|10|2|1.00|0.50
9780|apnic|KR|education|False|0|0|0.00|1.00
9781|apnic|KR|isp|True|67|3|0.98|0.67
9782|apnic|KR|business|False|0|0|0.00|1.00
9783|apnic|KR|none|False|0|0|0.00|1.00
9784|apnic|KR|business|False|0|0|0.00|1.00
9785|apnic|ID|business|True|81|8|1.00|0.25
9788|apnic|NZ|none|False|0|0|0.00|1.00
